t,phase,shoulder_pan_actual_deg,shoulder_pan_desired_deg,shoulder_pan_error_deg,shoulder_lift_actual_deg,shoulder_lift_desired_deg,shoulder_lift_error_deg,elbow_flex_actual_deg,elbow_flex_desired_deg,elbow_flex_error_deg,wrist_flex_actual_deg,wrist_flex_desired_deg,wrist_flex_error_deg,wrist_roll_actual_deg,wrist_roll_desired_deg,wrist_roll_error_deg
0.002,move_to_zero,-4.376474382407018,-4.4003158666,0.02384148419298171,-92.21682027023317,-92.2462050161,0.02938474586683526,89.9402674989065,89.9543738355,-0.014106336593499691,55.09939055982472,55.1185398916,-0.019149331775281553,0.0017248340730163765,0.0,0.0017248340730163765
0.004,move_to_zero,-4.330909248851258,-4.3959155507334,0.06500630188214185,-92.1570303665419,-92.15395881108391,-0.0030715554579927584,89.9113391449888,89.86441946166448,0.04691968332431884,55.061239154007296,55.0634213517084,-0.0021821977011029503,0.00446245053350109,0.0,0.00446245053350109
0.006,move_to_zero,-4.265879797707559,-4.3915152348668,0.1256354371592412,-92.06898220419802,-92.0617126060678,-0.007269598130221766,89.86832526897898,89.77446508782899,0.09386018114999217,55.00511720019171,55.008302811816804,-0.003185611625092122,0.0075307223824093664,0.0,0.0075307223824093664
0.008,move_to_zero,-4.183463475441107,-4.3871149190002,0.20365144355909326,-91.95472707743004,-91.9694664010517,0.014739323621668632,89.81192365379835,89.68451071399349,0.1274129398048558,54.93201028016466,54.953184271925196,-0.02117399176053425,0.010387988153810045,0.0,0.010387988153810045
0.01,move_to_zero,-4.085548453269227,-4.382714603133599,0.2971661498643723,-91.8162092799783,-91.8772201960356,0.061010916057298914,89.74280103187843,89.594556340158,0.14824469172043564,54.84287641478786,54.8980657320336,-0.055189317245741165,0.012706991800021774,0.0,0.012706991800021774
0.012,move_to_zero,-3.9738683826159567,-4.378314287266999,0.40444590465104246,-91.65523911274909,-91.7849739910195,0.12973487827041197,89.66159291652356,89.50460196632248,0.15699095020107734,54.738644454955974,54.842947192142,-0.10430273718602479,0.01456229614463365,0.0,0.01456229614463365
0.014,move_to_zero,-3.8499912235072653,-4.373913971400399,0.5239227478931339,-91.47351725923532,-91.69272778600339,0.21921052676806596,89.5689198929699,89.41464759248699,0.15427230048291563,54.62018364392993,54.787828652250404,-0.16764500832047702,0.016020742959697243,0.0,0.016020742959697243
0.016,move_to_zero,-3.7153638671471128,-4.369513655533799,0.6541497883866865,-91.27261675052718,-91.6004815809873,0.32786483046012904,89.46535843116797,89.32469321865149,0.14066521251648112,54.48833342322471,54.7327101123588,-0.24437668913409283,0.017140852344114398,0.0,0.017140852344114398
0.018000000000000002,move_to_zero,-3.571282179293603,-4.3651133396672,0.793831160373597,-91.0540285308449,-91.5082353759712,0.4542068451262935,89.35146904117565,89.234738844816,0.11673019635965431,54.34388089593531,54.6775915724672,-0.33371067653189357,0.01784451414790996,0.0,0.01784451414790996
0.020000000000000004,move_to_zero,-3.4189498370201092,-4.3607130238006,0.941763186780491,-90.81917100253915,-91.4159891709551,0.5968181684159504,89.22781431699653,89.1447844709805,0.08302984601603214,54.187594778531036,54.6224730325756,-0.4348782540445626,0.018091096680806707,0.0,0.018091096680806707
