t,phase,shoulder_pan_actual_deg,shoulder_pan_desired_deg,shoulder_pan_error_deg,shoulder_lift_actual_deg,shoulder_lift_desired_deg,shoulder_lift_error_deg,elbow_flex_actual_deg,elbow_flex_desired_deg,elbow_flex_error_deg,wrist_flex_actual_deg,wrist_flex_desired_deg,wrist_flex_error_deg,wrist_roll_actual_deg,wrist_roll_desired_deg,wrist_roll_error_deg
0.002,move_to_zero,-4.376474382407018,-4.4003158666,0.02384148419298171,-92.21682027023317,-92.2462050161,0.02938474586683526,89.9402674989065,89.9543738355,-0.014106336593499691,55.09939055982472,55.1185398916,-0.019149331775281553,0.0017248340730163765,0.0,0.0017248340730163765
0.004,move_to_zero,-4.3322053560861296,-4.3959155507334,0.06371019464727024,-92.15480004883779,-92.15395881108391,-0.0008412377538746796,89.91008256400652,89.86441946166448,0.04566310234203286,55.060624078694346,55.0634213517084,-0.002797273014053303,0.004411541228085654,0.0,0.004411541228085654
0.006,move_to_zero,-4.2710619720360405,-4.3915152348668,0.1204532628307593,-92.06345956353937,-92.0617126060678,-0.0017469574715676117,89.86480881565959,89.77446508782899,0.09034372783060007,55.00363094972068,55.008302811816804,-0.004671862096124357,0.007367255867259041,0.0,0.007367255867259041
0.008,move_to_zero,-4.196113466947865,-4.3871149190002,0.1910014520523351,-91.9458866453276,-91.9694664010517,0.023579755724099982,89.80538682889448,89.68451071399349,0.12087611490099448,54.92972822699416,54.953184271925196,-0.023456044931037923,0.010070126371964203,0.0,0.010070126371964203
0.01,move_to_zero,-4.109985960857555,-4.382714603133599,0.27272864227604376,-91.80493973701822,-91.8772201960356,0.07228045901737801,89.73271590012484,89.594556340158,0.13815955996685148,54.8401793255806,54.8980657320336,-0.057886406453000916,0.012262448590095124,0.0,0.012262448590095124
0.012,move_to_zero,-4.01494035622658,-4.378314287266999,0.36337393104041915,-91.64323028679819,-91.7849739910195,0.14174370422131233,89.64765406491594,89.50460196632248,0.1430520985934578,54.73619349345271,54.842947192142,-0.10675369868928897,0.014015956399430363,0.0,0.014015956399430363
0.014,move_to_zero,-3.912896421044738,-4.373913971400399,0.46101755035566105,-91.46315703970559,-91.69272778600339,0.22957074629779584,89.55103463119788,89.41464759248699,0.1363870387108932,54.61889648318915,54.787828652250404,-0.1689321690612573,0.01539476367704165,0.0,0.01539476367704165
0.016,move_to_zero,-3.8055092875056094,-4.369513655533799,0.5640043680281899,-91.26689665885202,-91.6004815809873,0.33358492213528734,89.4436369112033,89.32469321865149,0.11894369255180948,54.489361979502974,54.7327101123588,-0.24334813285582868,0.016454792536602005,0.0,0.016454792536602005
0.018000000000000002,move_to_zero,-3.694164482080927,-4.3651133396672,0.6709488575862732,-91.05645820453816,-91.5082353759712,0.45177717143303653,89.32621481781598,89.234738844816,0.09147597299998722,54.34859012235177,54.6775915724672,-0.3290014501154275,0.017156520606439473,0.0,0.017156520606439473
0.020000000000000004,move_to_zero,-3.5800609571663093,-4.3607130238006,0.7806520666342909,-90.83369962719306,-91.4159891709551,0.5822895437620446,89.19951482778752,89.1447844709805,0.05473035680702765,54.19754288972803,54.6224730325756,-0.4249301428475718,0.01745404916410255,0.0,0.01745404916410255
