time_abs,time_rel,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,q_des1,q_des2,q_des3,q_des4,q_des5,q_des6,qd_des1,qd_des2,qd_des3,qd_des4,qd_des5,qd_des6,qdd_des1,qdd_des2,qdd_des3,qdd_des4,qdd_des5,qdd_des6,tau1,tau2,tau3,tau4,tau5,tau6,p_x,p_y,p_z,p_des_x,p_des_y,p_des_z,v_cart_x,v_cart_y,v_cart_z,perturb_active
1773085131.1850617,0.020179178,-0.0827505961060524,0.5944923162460327,1.439378261566162,0.0011504855938255787,0.9657687544822693,-0.06519418209791183,5.664119906201347e-15,3.63201544442129e-15,1.0785023819043118e-15,2.223419770169886e-15,-2.1094237467877974e-15,1.9528029079175042e-15,-0.0827505961060524,0.5944923162460327,1.439378261566162,0.0011504855938255787,0.9657687544822693,-0.06519418209791183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.888701152162687e-13,9.662917094314555,-4.856939831093733,-0.28166362400651346,-0.017714202941862357,0.00029757434145588006,0.33144012683780155,-0.02742635370572683,0.261281967621349,0.3314303996976024,-0.027429485764927,0.26128520424252627,0.0,0.0,0.0,0
1773085131.204926,0.040043373,-0.0827505961060524,0.5944923162460327,1.439378261566162,0.0011504855938255787,0.9657687544822693,-0.06519418209791183,5.664119906201347e-15,3.63201544442129e-15,1.0785023819043118e-15,2.223419770169886e-15,-2.1094237467877974e-15,1.9528029079175042e-15,-0.0827505961060524,0.5944923162460327,1.439378261566162,0.0011504855938255787,0.9657687544822693,-0.06519418209791183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.888701152162687e-13,9.662917094314555,-4.856939831093733,-0.28166362400651346,-0.017714202941862357,0.00029757434145588006,0.33144012683780155,-0.02742635370572683,0.261281967621349,0.3314303996976024,-0.027429485764927,0.26128520424252627,0.0,0.0,0.0,0
1773085131.2249029,0.060020531,-0.0827505961060524,0.5944923162460327,1.439378261566162,0.0011504855938255787,0.9657687544822693,-0.06519418209791183,5.664119906201347e-15,3.63201544442129e-15,1.0785023819043118e-15,2.223419770169886e-15,-2.1094237467877974e-15,1.9528029079175042e-15,-0.0827505961060524,0.5944923162460327,1.439378261566162,0.0011504855938255787,0.9657687544822693,-0.06519418209791183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.888701152162687e-13,9.662917094314555,-4.856939831093733,-0.28166362400651346,-0.017714202941862357,0.00029757434145588006,0.33144012683780155,-0.02742635370572683,0.261281967621349,0.3314303996976024,-0.027429485764927,0.26128520424252627,0.0,0.0,0.0,0
1773085131.2449365,0.08005392,-0.0827505961060524,0.5944923162460327,1.439378261566162,0.0011504855938255787,0.9657687544822693,-0.06519418209791183,5.664119906201347e-15,3.63201544442129e-15,1.0785023819043118e-15,2.223419770169886e-15,-2.1094237467877974e-15,1.9528029079175042e-15,-0.0827505961060524,0.5944923162460327,1.439378261566162,0.0011504855938255787,0.9657687544822693,-0.06519418209791183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.888701152162687e-13,9.662917094314555,-4.856939831093733,-0.28166362400651346,-0.017714202941862357,0.00029757434145588006,0.33144012683780155,-0.02742635370572683,0.261281967621349,0.3314303996976024,-0.027429485764927,0.26128520424252627,0.0,0.0,0.0,0
1773085131.26489,0.10000732,-0.0827505961060524,0.5944923162460327,1.439378261566162,0.0011504855938255787,0.9656888246536255,-0.06519418209791183,5.664119906201347e-15,3.63201544442129e-15,1.0785023819043118e-15,2.223419770169886e-15,-2.1094237467877974e-15,1.9528029079175042e-15,-0.0827505961060524,0.5944923162460327,1.439378261566162,0.0011504855938255787,0.9657687544822693,-0.06519418209791183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.888701152162687e-13,9.66292864333817,-4.85695138011735,-0.28166361832084325,-0.0164409590472651,0.0002973784477625439,0.3314450687838705,-0.027426766769237335,0.2612813653674894,0.3314303996976024,-0.027429485764927,0.26128520424252627,-3.113093124370088e-05,2.602665015533573e-06,3.7923005179770726e-06,0
1773085131.2849164,0.120033965,-0.0827505961060524,0.5944923162460327,1.439378261566162,0.0011504855938255787,0.9656888246536255,-0.06519418209791183,5.664119906201347e-15,3.63201544442129e-15,1.0785023819043118e-15,2.223419770169886e-15,-2.1094237467877974e-15,1.9528029079175042e-15,-0.0827505961060524,0.5944923162460327,1.439378261566162,0.0011504855938255787,0.9656888246536255,-0.06519418209791183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.888701152162687e-13,9.66292864333817,-4.85695138011735,-0.28166361832084325,-0.018900006177195488,0.0002973784477625439,0.3314450687838705,-0.027426766769237335,0.2612813653674894,0.3314303996976024,-0.027429485764927,0.26128520424252627,2.965179588373461e-05,-2.4790036375784298e-06,-3.6121155518465365e-06,0
1773085131.305114,0.140231691,-0.0827505961060524,0.5944923162460327,1.439378261566162,0.0011504855938255787,0.9656888246536255,-0.06519418209791183,5.664119906201347e-15,3.63201544442129e-15,1.0785023819043118e-15,2.223419770169886e-15,-2.1094237467877974e-15,1.9528029079175042e-15,-0.0827505961060524,0.5944923162460327,1.439378261566162,0.0011504855938255787,0.9656888246536255,-0.06519418209791183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.888701152162687e-13,9.66292864333817,-4.85695138011735,-0.28166361832084325,-0.017702653920083043,0.0002973784477625439,0.3314450687838705,-0.027426766769237335,0.2612813653674894,0.3314303996976024,-0.027429485764927,0.26128520424252627,0.0,0.0,0.0,0
1773085131.3249156,0.160033333,-0.0827505961060524,0.5944923162460327,1.439378261566162,0.0011504855938255787,0.9656888246536255,-0.06519418209791183,5.664119906201347e-15,3.63201544442129e-15,1.0785023819043118e-15,2.223419770169886e-15,-2.1094237467877974e-15,1.9528029079175042e-15,-0.0827505961060524,0.5944923162460327,1.439378261566162,0.0011504855938255787,0.9656888246536255,-0.06519418209791183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.888701152162687e-13,9.66292864333817,-4.85695138011735,-0.28166361832084325,-0.017702653920083043,0.0002973784477625439,0.3314450687838705,-0.027426766769237335,0.2612813653674894,0.3314303996976024,-0.027429485764927,0.26128520424252627,0.0,0.0,0.0,0
1773085131.3449216,0.180039058,-0.0827505961060524,0.5944923162460327,1.439378261566162,0.0011504855938255787,0.9656888246536255,-0.06519418209791183,5.664119906201347e-15,3.63201544442129e-15,1.0785023819043118e-15,2.223419770169886e-15,-2.1094237467877974e-15,1.9528029079175042e-15,-0.0827505961060524,0.5944923162460327,1.439378261566162,0.0011504855938255787,0.9656888246536255,-0.06519418209791183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.888701152162687e-13,9.66292864333817,-4.85695138011735,-0.28166361832084325,-0.017702653920083043,0.0002973784477625439,0.3314450687838705,-0.027426766769237335,0.2612813653674894,0.3314303996976024,-0.027429485764927,0.26128520424252627,0.0,0.0,0.0,0
1773085131.3648915,0.200009273,-0.0827505961060524,0.5944923162460327,1.439378261566162,0.0011504855938255787,0.9656888246536255,-0.06519418209791183,5.664119906201347e-15,3.63201544442129e-15,1.0785023819043118e-15,2.223419770169886e-15,-2.1094237467877974e-15,1.9528029079175042e-15,-0.0827505961060524,0.5944923162460327,1.439378261566162,0.0011504855938255787,0.9656888246536255,-0.06519418209791183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.888701152162687e-13,9.66292864333817,-4.85695138011735,-0.28166361832084325,-0.017702653920083043,0.0002973784477625439,0.3314450687838705,-0.027426766769237335,0.2612813653674894,0.3314303996976024,-0.027429485764927,0.26128520424252627,0.0,0.0,0.0,0
