t,phase,shoulder_pan_actual_deg,shoulder_pan_desired_deg,shoulder_pan_error_deg,shoulder_lift_actual_deg,shoulder_lift_desired_deg,shoulder_lift_error_deg,elbow_flex_actual_deg,elbow_flex_desired_deg,elbow_flex_error_deg,wrist_flex_actual_deg,wrist_flex_desired_deg,wrist_flex_error_deg,wrist_roll_actual_deg,wrist_roll_desired_deg,wrist_roll_error_deg
0.002,move_to_zero,-4.376474382407018,-4.4003158666,0.02384148419298171,-92.21682027023317,-92.2462050161,0.02938474586683526,89.9402674989065,89.9543738355,-0.014106336593499691,55.09939055982472,55.1185398916,-0.019149331775281553,0.0017248340730163765,0.0,0.0017248340730163765
0.004,move_to_zero,-4.329910553206487,-4.3959155507334,0.06600499752691302,-92.1586926738121,-92.15395881108391,-0.004733862728187432,89.91210836409316,89.86441946166448,0.04768890242867485,55.061711662111776,55.0634213517084,-0.0017096895966233205,0.0045075892703035116,0.0,0.0045075892703035116
0.006,move_to_zero,-4.262050704514499,-4.3915152348668,0.1294645303523012,-92.0726609053856,-92.0617126060678,-0.01094829931780339,89.8700523948768,89.77446508782899,0.09558730704780771,55.0061430779399,55.008302811816804,-0.002159733876901271,0.007672556007311098,0.0,0.007672556007311098
0.008,move_to_zero,-4.174568751507903,-4.3871149190002,0.21254616749229704,-91.9597777682005,-91.9694664010517,0.009688632851208467,89.81432530947072,89.68451071399349,0.12981459547722807,54.933373077116045,54.953184271925196,-0.019811194809150834,0.010655570352218074,0.0,0.010655570352218074
0.01,move_to_zero,-4.069332148428582,-4.382714603133599,0.31338245470501747,-91.82127763590854,-91.8772201960356,0.055942560127050456,89.74522445764576,89.594556340158,0.15066811748776843,54.84414992077373,54.8980657320336,-0.053915811259869884,0.013076571653864073,0.0,0.013076571653864073
0.012,move_to_zero,-3.9483879725426307,-4.378314287266999,0.4299263147243684,-91.6585271994197,-91.7849739910195,0.126446791599804,89.66311271226168,89.50460196632248,0.15851074593919634,54.73927377012721,54.842947192142,-0.10367342201478635,0.015011507581596166,0.0,0.015011507581596166
0.014,move_to_zero,-3.8139044994404547,-4.373913971400399,0.5600094719599444,-91.4730263650718,-91.69272778600339,0.2197014209315853,89.5684285924189,89.41464759248699,0.15378099993191086,54.6195597481983,54.787828652250404,-0.16826890405210548,0.016528908479662957,0.0,0.016528908479662957
0.016,move_to_zero,-3.668167571348843,-4.369513655533799,0.7013460841849564,-91.26636725168046,-91.6004815809873,0.3341143293068427,89.46165098498287,89.32469321865149,0.13695776633137768,54.485860902551906,54.7327101123588,-0.2468492098068964,0.017647484457729203,0.0,0.017647484457729203
0.018000000000000002,move_to_zero,-3.513504937266838,-4.3651133396672,0.8516084024003621,-91.04025620872946,-91.5082353759712,0.4679791672417366,89.3433206961685,89.234738844816,0.1085818513525112,54.3390394208873,54.6775915724672,-0.33855215157989704,0.01826917621297047,0.0,0.01826917621297047
0.020000000000000004,move_to_zero,-3.352298410952471,-4.3607130238006,1.0084146128481293,-90.79650121407651,-91.4159891709551,0.6194879568785865,89.21405225026403,89.1447844709805,0.06926777928353545,54.1799941416614,54.6224730325756,-0.44247889091419523,0.01836774415323783,0.0,0.01836774415323783
0.022000000000000006,move_to_zero,-3.1869459136024476,-4.356312707934,1.1693667943315527,-90.53697391881543,-91.323742965939,0.7867690471235704,89.07448198668939,89.05483009714499,0.019651889544405776,54.00960665058633,54.567354492684,-0.5577478420976689,0.018003222521475574,0.0,0.018003222521475574
0.024000000000000007,move_to_zero,-3.0197877789897083,-4.351912392067399,1.3321246130776911,-90.26361950815605,-91.2314967609229,0.96787725276684,88.92529051582243,88.96487572330949,-0.03958520748706462,53.82878640398463,54.5122359527924,-0.6834495488077721,0.017258595770570054,0.0,0.017258595770570054
0.02600000000000001,move_to_zero,-2.8531172818192365,-4.3475120762007995,1.494394794381563,-89.97837983149323,-91.1392505559068,1.16087072441357,88.76720838424603,88.874921349474,-0.10771296522796092,53.63843014877474,54.4571174129008,-0.8186872641260621,0.01627639783930038,0.0,0.01627639783930038
0.02800000000000001,move_to_zero,-2.6891093515808153,-4.3431117603341995,1.6540024087533842,-89.68323870823005,-91.0470043508907,1.3637656426606526,88.60098103897522,88.78496697563848,-0.18398593666326235,53.4394473252936,54.401998873009205,-0.9625515477156057,0.015203831901047586,0.0,0.015203831901047586
0.030000000000000013,move_to_zero,-2.529856012700853,-4.3387114444676,1.8088554317667467,-89.38017467622457,-90.9547581458746,1.5745834696500367,88.42737218630452,88.695012601803,-0.2676404154984766,53.232756234943075,54.3468803331176,-1.1141240981745284,0.014179283259171845,0.0,0.014179283259171845
0.032000000000000015,move_to_zero,-2.3772768790661973,-4.334311128601,1.9570342495348023,-89.07115726232803,-90.8625119408585,1.7913546785304675,88.24718111751564,88.60505822796749,-0.35787711045185233,53.01924881131857,54.291761793225994,-1.2725129819074255,0.01330201706824707,0.0,0.01330201706824707
0.034000000000000016,move_to_zero,-2.2331295732911496,-4.3299108127344,2.09678123944325,-88.7581425434009,-90.7702657358424,2.012123192441507,88.06117880503629,88.51510385413198,-0.4539250490956874,52.79980525644023,54.2366432533344,-1.4368379968941696,0.012562030605961763,0.0,0.012562030605961763
0.03600000000000002,move_to_zero,-2.0989595206443252,-4.3255104968678,2.2265509762234745,-88.4430306024608,-90.67801953082629,2.234988928365496,87.8701580115463,88.4251494802965,-0.5549914687502024,52.57529879642444,54.1815247134428,-1.6062259170183566,0.011938340667392843,0.0,0.011938340667392843
